caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
1,,,,,,,,,,,,,,,,,,,,,,,
2,,,8 years ago,,Speaker of house,Vice President,DK,DK,Unemployment,Infrastructure,Racism,Raisin,,,,,,,,,,,eggshells
3,,,four years ago,,speaker of house,vice President,DK,DK,not having unity in goverment,lack oj jobs,women rights,lack of jobs,,,,,,,,,,,oatmeal
4,,,january 2012,,DK,DK,DK,DK,How people are treated when they get a Job benefits taken away,How disabled people are treated,How people with treat the people without,DK,,,,,,,,,,,eggs
5,,,4 year ago,,speaker of th house,vp,dk,dk,National Debt,Education,Out Sourcing,Education,,,,,,,,,,,toast
6,,,,,DK,DK,DK,DK,JOBS,EDUCATION,NONE,JOBS,,,,,,,,,,,EGGS
7,,,a month before election,,Governor,vice President,congressmen,treasurer,economy,unemployment,health care,employment,,,,,,,,,,,eggshell
8,,,,,DK,DK,DK,DK,KILLINGS,BAD ROADS,NONE,THE KILLINGS,,,,,,,,,,,EGGS
9,,,4 years ago,,DK,VP,DK,DK,UNEMPLOYMENT,poverty,heath insurance,Unemploument,,,,,,,,,,,no
10,,,,,DK,VICE PRESIDENT,DK,SUPREAM COURT JUSTICE,ECONOMY AND DEPT,HEALTH CARE ISSUE,"FAMLIY ISSUES,DEGRADATION",ECONOMY,,,,,,,,,,,waffles
11,,,several months,,Speaker of the House,Vice President,DK,Chief Justice of Supreme Court,"Economics//Need direction, simplify the tax code, need a sensible approach to balancing the budget and dealing with the deficit",Winding down and paying for the cost of wars and taking care of our veterans,Need to work together instead of being so divided politically,Beidging the political divide.,,,,,,,,,,,eggs and toast
12,,,,,House majority leader,Vice President,DK,DK,"Economy, Providing too much money to other countries and not helping ourselves as much as we could//",,,,,,,,,,,,,,McDonalds
13,,,8 months before the election,,DK,Vice President,House of Represenatives,DK,"Drugs, excessive problems with drugs, most fanilies have someone affected by drug use, neither candidate addressed issue","economy, need more jobs, better pay, big companies using Obama health care to their advantage not using to give employees better plans for health care","Health care, officials resent the fact that their excessive billing has been challenged and lashing out at people they provided care too.",Drugs,Should see rhat all people get fair treatment,,,Not a political issue personal choice,Abortion is a personal issue not a political issue,,,,,,Nothing
14,,,,,DK,Vice President,DK,DK,The people's welfare//how are they going to make it one day to the other//how will they find health care and pay for it//,immmigration problem//some people are in the country and do not pay taxes or have any other repsonsibilities//need a uniform policy to deal with them and if they stay in the country they need to learn english//,Taxation//small people or less fortunate people pay more taxes//wealthy people have loopholes//,Taxation,,,,,,,,,,,no breajfast
15,,,Made up mind after  the republican debates,,Speaker of the house,Vice President,DK,DK,"Finances//we spend too much, we give too many entitlements,foster dependence on the govt",Middle East//Afraid it may begin another war//,"Decline of moral fabric within society//worship hollywood types,line between right and wrong is almost non existent//",Economy,,,,,,,,,,,breakfast burrito
16,,,40 yeqrs ago,,Speaker of the House,Vice President,DK,DK,We spend more than we make,Nobody is held accountable for their actions,,"Too much unemployment, too many handouts",,,,,,,,,,,pancake
17,,,When he was nominated as the Republican candidate,,Speaker of the House,Vice President,Speaker of the house for arizona,Supreme Court Justice,National Debt// going bankrupt owe more money than we can pay but just keep borrowing//,Unemployment//Because regulations and taxes hinder small business from hiring//,"Energy//we have no domestic energy policy, thats why gas prices are so high//",National debt,,,,,,,,,,,eggs
18,,,always was going to voe that way,,DK,Vice President,DK,DK,"Economy, Not enough jobs//",no others,,Economy,,,,,,,,,,,cereal
19,,,,,Republican,Democrat,State office,State Office,money - people are losing businesses and going bankrupt.,the war - in afghanistan,,the money problem,,,,,,,,,,,nothing
20,,,,,Councilman,Nothing,Councilman,Councilman,economy - not being run right,,,,,,,,,,,,,,eeggs
21,,,the day of elections,,Leader of the House,Vice-President,DK,Dept. of Agricultural,health care,national deficit,economy//in general,health care,,,,,,,,,,,sausage buiscuit
22,political,,,,House of Representative,Senate,Clerk,Clerk,shortage of everything// farmers products,"taxes// too much, grocery taxes are outrageous",gas prices// too high. go up one day and down the next then up again,shortages on the farmers,,,,,,,,,,,eggs
23,,,,,Dk,vice- President,DK,DK,inflation,,,,,,,,,,,,,,eggs
24,,,,,,,,,,,,,,,,,,,,,,,
25,,,months,,DK,Vice-President,DK,DK,unemployment//people who want to work are suffering most.,the national debt,,the national debt,,,,,,,,,,,ggg
26,,,,,,,,,,,,,,,,,,,,,,,
27,,,months,,Senator,Vice- President,Representative,DK,the economic colapse//not enough coming in and whats going out,"the party in charge in the white house, democrats  // they want one world government, obama and hillary",a weak united states because of the handling of libyan situation,the economy collapse,,,,,,,,,,,eggs
